fecha,hora,pm10_ugm3,humedad_relativa_pct,direccion_viento_grados,velocidad_viento_ms,precipitacion_mm,condicion_lluvia,estacion_anio,n_eventos,numero_taladros,tonelaje_tm,anfo_kg,emulsion_kg,explosivo_total_kg,p80,mes,tiempo_taladro_ms,tiempo_fila_ms,n_retardos_taladro,n_retardos_fila
2023-02-27,12,7.1,69.0,347.0,0.8,0.0,Seco,Verano,1,107,61687.0,1168,10806,11974,4.28,2,17.0,75.0,1,1
2023-02-27,13,7.1,64.0,328.0,2.2,0.0,Seco,Verano,1,96,49771.0,2475,10177,12652,5.66,2,17.0,100.0,1,1
2023-02-28,12,5.4,49.0,101.0,3.6,0.0,Seco,Verano,2,183,101721.0,0,19153,19153,11.41,2,17.0,182.0,1,1
2023-03-01,12,5.3,63.0,89.0,1.6,0.0,Seco,Verano,1,51,18955.0,0,4447,4447,5.6,3,26.0,182.0,1,1
2023-03-02,12,11.5,58.0,309.0,3.5,0.0,Seco,Verano,2,315,153948.0,4957,28384,33340,10.75,3,43.0,257.0,1,1
2023-03-04,12,36.4,65.0,315.0,2.3,0.0,Seco,Verano,1,197,197.0,197,197,197,,3,197.0,197.0,1,1
2023-03-05,12,6.9,85.0,343.0,0.0,0.0,Seco,Verano,2,309,143863.0,7938,24749,32687,10.05,3,34.0,200.0,1,1
2023-03-06,13,3.4,66.0,325.0,2.0,0.0,Seco,Verano,2,200,114757.0,3831,18806,22636,9.02,3,34.0,0.0,1,1
2023-03-07,12,5.5,70.0,318.0,2.6,0.0,Seco,Verano,1,47,20065.0,1486,3563,5048,4.49,3,17.0,100.0,1,1
2023-03-08,13,5.1,73.0,290.0,0.3,0.3,Lluvia ligera,Verano,1,175,107000.0,0,18465,18465,4.28,3,26.0,182.0,1,1
2023-03-10,12,3.9,91.0,334.0,1.5,0.4,Lluvia ligera,Verano,1,82,31413.0,841,7794,8635,5.78,3,17.0,75.0,1,1
2023-03-10,13,1.6,87.0,327.0,1.1,0.1,Lluvia ligera,Verano,1,154,101645.0,0,18324,18324,4.28,3,26.0,182.0,1,1
2023-03-11,12,1.3,76.0,309.0,1.6,0.0,Seco,Verano,1,122,54288.0,2447,10060,12507,4.28,3,17.0,75.0,1,1
2023-03-12,12,3.4,91.0,219.0,0.0,0.9,Lluvia ligera,Verano,1,189,67707.0,4424,18186,22610,5.85,3,7.0,150.0,1,1
